pair,n,eg_resid_adf_t,eg_pass_5pct,approx_p,bh_fdr_survive,half_life_is
ITC.NS/NTPC.NS,4288,-2.586,false,0.2449,false,340.7
ITC.NS/ONGC.NS,4288,-1.928,false,0.5719,false,518.5
ITC.NS/DIVISLAB.NS,4287,-2.286,false,0.4012,false,287.5
ITC.NS/CIPLA.NS,4288,-2.189,false,0.4526,false,201.8
ITC.NS/EICHERMOT.NS,4288,-2.959,false,0.1260,false,126.3
ITC.NS/GRASIM.NS,4288,-1.708,false,0.6635,false,284.7
ITC.NS/HEROMOTOCO.NS,4288,-2.573,false,0.2491,false,147.5
ITC.NS/HINDALCO.NS,4288,-1.707,false,0.6638,false,472.6
ITC.NS/INDUSINDBK.NS,4288,-3.353,true,0.0487,false,90.1
ITC.NS/JSWSTEEL.NS,4288,-1.524,false,0.7400,false,461.7
ITC.NS/LT.NS,4288,-2.123,false,0.4878,false,280.0
ITC.NS/M&M.NS,4288,-3.752,true,0.0174,false,83.7
ITC.NS/TECHM.NS,4288,-1.860,false,0.5999,false,280.6
ITC.NS/TITAN.NS,4288,-1.937,false,0.5677,false,265.1
ITC.NS/UPL.NS,4288,-2.477,false,0.2994,false,262.1
ITC.NS/ADANIPORTS.NS,4288,-1.815,false,0.6188,false,263.5
ITC.NS/ADANIENT.NS,4288,-2.091,false,0.5039,false,484.7
ITC.NS/DRREDDY.NS,4288,-1.906,false,0.5810,false,264.4
ITC.NS/BAJAJFINSV.NS,4288,-1.951,false,0.5620,false,309.2
ITC.NS/BRITANNIA.NS,4288,-2.453,false,0.3121,false,248.3
ITC.NS/COALINDIA.NS,3834,-2.237,false,0.4269,false,281.3
ITC.NS/SBILIFE.NS,2134,-0.621,false,0.9168,false,661.2
ITC.NS/HDFCLIFE.NS,2102,-0.026,false,0.9726,false,20375.4
ITC.NS/APOLLOHOSP.NS,4288,-2.268,false,0.4105,false,161.6
SBIN.NS/BAJFINANCE.NS,4288,-3.095,false,0.0909,false,108.4
SBIN.NS/BAJAJ-AUTO.NS,4288,-3.009,false,0.1098,false,109.2
SBIN.NS/BHARTIARTL.NS,4288,-2.918,false,0.1390,false,152.2
SBIN.NS/WIPRO.NS,4288,-3.573,true,0.0276,false,94.3
SBIN.NS/MARUTI.NS,4288,-3.174,false,0.0777,false,113.5
SBIN.NS/HCLTECH.NS,4288,-3.148,false,0.0820,false,118.3
SBIN.NS/TATASTEEL.NS,4288,-2.854,false,0.1593,false,130.8
SBIN.NS/KOTAKBANK.NS,4288,-3.191,false,0.0749,false,114.7
SBIN.NS/AXISBANK.NS,4288,-3.322,false,0.0530,false,91.0
SBIN.NS/ULTRACEMCO.NS,4288,-3.142,false,0.0830,false,117.6
SBIN.NS/SUNPHARMA.NS,4288,-2.664,false,0.2201,false,159.5
SBIN.NS/ASIANPAINT.NS,4288,-3.033,false,0.1022,false,113.2
SBIN.NS/NESTLEIND.NS,4288,-2.887,false,0.1489,false,148.8
SBIN.NS/POWERGRID.NS,4288,-3.192,false,0.0747,false,107.8
SBIN.NS/NTPC.NS,4288,-2.681,false,0.2144,false,162.2
SBIN.NS/ONGC.NS,4288,-1.998,false,0.5427,false,217.3
SBIN.NS/DIVISLAB.NS,4287,-3.107,false,0.0888,false,129.1
SBIN.NS/CIPLA.NS,4288,-3.136,false,0.0840,false,121.0
SBIN.NS/EICHERMOT.NS,4288,-3.091,false,0.0915,false,117.4
SBIN.NS/GRASIM.NS,4288,-3.288,false,0.0587,false,111.3
SBIN.NS/HEROMOTOCO.NS,4288,-3.197,false,0.0738,false,111.7
SBIN.NS/HINDALCO.NS,4288,-3.442,true,0.0402,false,88.5
SBIN.NS/INDUSINDBK.NS,4288,-2.945,false,0.1303,false,106.3
SBIN.NS/JSWSTEEL.NS,4288,-3.334,false,0.0509,false,104.6
SBIN.NS/LT.NS,4288,-3.817,true,0.0141,false,70.2
SBIN.NS/M&M.NS,4288,-3.181,false,0.0766,false,112.4
SBIN.NS/TECHM.NS,4288,-3.151,false,0.0816,false,117.7
SBIN.NS/TITAN.NS,4288,-3.114,false,0.0876,false,107.9
SBIN.NS/UPL.NS,4288,-3.211,false,0.0716,false,106.2
SBIN.NS/ADANIPORTS.NS,4288,-3.516,true,0.0331,false,85.9
SBIN.NS/ADANIENT.NS,4288,-3.055,false,0.0975,false,123.3
SBIN.NS/DRREDDY.NS,4288,-2.903,false,0.1438,false,136.4
SBIN.NS/BAJAJFINSV.NS,4288,-3.319,false,0.0536,false,107.5
SBIN.NS/BRITANNIA.NS,4288,-3.164,false,0.0794,false,119.5
SBIN.NS/COALINDIA.NS,3834,-1.636,false,0.6935,false,254.0
SBIN.NS/SBILIFE.NS,2134,-2.080,false,0.5083,false,119.5
SBIN.NS/HDFCLIFE.NS,2102,-1.019,false,0.8530,false,426.4
SBIN.NS/APOLLOHOSP.NS,4288,-2.941,false,0.1316,false,124.2
BAJFINANCE.NS/BAJAJ-AUTO.NS,4288,-3.300,false,0.0567,false,174.9
BAJFINANCE.NS/BHARTIARTL.NS,4288,-2.554,false,0.2583,false,180.2
BAJFINANCE.NS/WIPRO.NS,4288,-2.558,false,0.2565,false,170.3
BAJFINANCE.NS/MARUTI.NS,4288,-1.867,false,0.5973,false,270.9
BAJFINANCE.NS/HCLTECH.NS,4288,-1.966,false,0.5557,false,225.2
BAJFINANCE.NS/TATASTEEL.NS,4288,-1.300,false,0.7928,false,850.1
BAJFINANCE.NS/KOTAKBANK.NS,4288,-5.578,true,0.0024,false,34.3
BAJFINANCE.NS/AXISBANK.NS,4288,-2.972,false,0.1218,false,116.3
BAJFINANCE.NS/ULTRACEMCO.NS,4288,-2.878,false,0.1517,false,113.5
BAJFINANCE.NS/SUNPHARMA.NS,4288,-0.613,false,0.9176,false,1705.2
BAJFINANCE.NS/ASIANPAINT.NS,4288,-3.597,true,0.0253,false,80.6
BAJFINANCE.NS/NESTLEIND.NS,4288,-3.618,true,0.0241,false,208.9
BAJFINANCE.NS/POWERGRID.NS,4288,-3.046,false,0.0991,false,79.2
BAJFINANCE.NS/NTPC.NS,4288,-2.013,false,0.5361,false,1264.8
