symbol,ann_date,bucket,reaction_date,earcc,gap,intra,continuation_next
JUBLFOOD.NS,2025-11-13,after-close,2025-11-14,0.07338,0.05484,0.01711,-0.02658
VMM.NS,2025-11-13,after-close,2025-11-14,-0.00834,0.01259,-0.02116,-0.00940
VOLTAS.NS,2025-11-13,after-close,2025-11-14,0.01096,-0.02461,0.03597,0.01011
ALKEM.NS,2025-11-13,intraday,2025-11-13,-0.00461,0.00459,-0.01182,-0.00003
COCHINSHIP.NS,2025-11-12,after-close,2025-11-13,-0.04460,-0.08036,0.03598,0.01104
IRCTC.NS,2025-11-12,after-close,2025-11-13,-0.00564,0.00580,-0.01403,-0.00599
ENDURANCE.NS,2025-11-12,after-close,2025-11-13,-0.07444,0.00117,-0.07818,-0.00155
ENDURANCE.NS,2025-11-12,after-close,2025-11-13,-0.07444,0.00117,-0.07818,-0.00155
BAJAJHFL.NS,2025-11-12,after-close,2025-11-13,-0.00094,0.00000,-0.00361,-0.00044
ASHOKLEY.NS,2025-11-12,intraday,2025-11-12,-0.03093,0.00979,-0.03350,0.05796
FORTIS.NS,2025-11-12,intraday,2025-11-12,-0.02463,0.01743,-0.03456,-0.01425
FORTIS.NS,2025-11-11,after-close,2025-11-12,-0.02463,0.01743,-0.03456,-0.01425
FORTIS.NS,2025-11-11,after-close,2025-11-12,-0.02463,0.01743,-0.03456,-0.01425
FORTIS.NS,2025-11-11,after-close,2025-11-12,-0.02463,0.01743,-0.03456,-0.01425
