side,symbol,deal_date,band,deal_value_inr,adv_ratio,pre_car,day0_ar,post_car_h5
BUY,CYIENTDLM.NS,2025-02-17,broad,252834690,1.15,-0.00913,-0.03160,0.034744230186608216
BUY,DEVYANI.NS,2026-03-27,smallcap,631594790,2.27,-0.05230,-0.00650,0.02611182471093154
BUY,CASTROLIND.NS,2025-03-06,smallcap,1803642801,1.04,0.03400,0.08892,0.01715525467725887
BUY,STOVEKRAFT.NS,2026-03-19,broad,83365300,2.16,-0.09265,0.07855,-0.05684766718537415
BUY,APEX.NS,2026-04-17,broad,489149625,2.25,0.04994,0.08073,-0.010997437550215206
BUY,MOBIKWIK.NS,2025-09-10,broad,1657814273,7.50,0.09544,-0.01805,-0.024511729322301945
BUY,TBOTEK.NS,2025-01-23,smallcap,165312775,1.23,-0.05642,0.01736,-0.028510635429897735
BUY,CREDITACC.NS,2025-03-06,smallcap,1224232538,1.22,0.07940,0.05336,-0.010375234565317304
BUY,QUADFUTURE.NS,2025-12-19,broad,715835489,14.05,-0.04848,0.11072,-0.028151744080163077
BUY,VIPIND.NS,2025-03-27,micro,311385342,1.94,-0.06016,0.01223,-0.012189830677094449
BUY,JKPAPER.NS,2025-08-25,micro,547287315,7.22,-0.03593,0.17373,0.004171663556475247
BUY,GARUDA.NS,2025-10-27,broad,695662375,5.33,0.14233,-0.05302,0.10486264361674058
BUY,RACLGEAR.NS,2026-01-27,broad,181124859,14.77,-0.03909,0.04302,-0.010173895988949022
BUY,MODIS.NS,2026-01-09,broad,108207800,32.17,-0.01191,-0.00547,-0.037233113984312616
BUY,NRL.NS,2025-05-27,broad,53435946,16.77,-0.02901,0.20688,0.050939418117326385
BUY,SHAREINDIA.NS,2026-03-06,micro,147208199,2.58,-0.00016,0.06667,-0.005476847766842097
BUY,RADHIKAJWE.NS,2025-07-30,broad,62391937,0.76,0.09166,0.00856,-0.012553507605844283
BUY,MAMATA.NS,2025-05-29,broad,373833180,7.66,0.12248,0.10164,0.010325839774473433
BUY,AXITA.NS,2025-07-23,broad,18302232,1.39,0.02864,-0.00634,-0.02962837180564215
BUY,TBZ.NS,2026-01-09,broad,181385375,10.28,0.05996,-0.00190,-0.0010845954410373393
BUY,KESORAMIND.NS,2025-04-22,broad,7965890,0.56,-0.31141,0.04509,0.19795497020756292
BUY,REDINGTON.NS,2025-09-19,smallcap,3595727450,9.46,0.16945,0.03884,0.04275183110586844
BUY,OLAELEC.NS,2026-04-13,smallcap,911420832,0.53,0.32341,-0.05966,-0.04414394551674461
BUY,CAPACITE.NS,2025-02-14,broad,168544410,0.89,-0.02174,-0.06373,0.0042628733135393615
BUY,IRMENERGY.NS,2026-04-29,broad,4259491038,81.57,0.56516,0.01951,-0.11572840591310052
BUY,GARUDA.NS,2025-10-09,broad,294877587,1.91,0.00147,0.03836,-0.08225114497363484
BUY,MIDHANI.NS,2025-07-15,micro,522920895,1.44,-0.05650,0.06227,-0.02031670481414183
BUY,CYIENT.NS,2025-01-27,smallcap,1354496502,2.03,-0.19321,0.04013,0.04453882862418612
BUY,SHANTIGOLD.NS,2026-05-11,broad,84426680,1.29,0.12054,-0.01018,0.0026016153523955587
BUY,PROSTARM.NS,2025-07-09,broad,692748525,2.21,0.07905,0.20181,-0.05442722257598631
BUY,PSPPROJECT.NS,2025-10-27,broad,749500879,10.14,0.03673,0.17026,0.11166653772401847
BUY,GUJALKALI.NS,2026-03-23,broad,12073642711,760.84,0.23791,0.16882,-0.02724698165147288
BUY,RACLGEAR.NS,2026-02-17,broad,871718135,30.01,0.27592,0.13028,-0.05877170440489121
BUY,KROSS.NS,2025-08-25,broad,1847989652,94.53,0.15971,0.07137,-0.014680227774631405
BUY,PNBHOUSING.NS,2025-12-10,smallcap,1000000440,1.60,0.00742,0.00732,-0.000639392928910909
BUY,IDEAFORGE.NS,2025-11-17,broad,255511187,3.27,-0.01105,0.08188,-0.04199862908346097
BUY,FIRSTCRY.NS,2026-04-07,smallcap,1600704064,4.42,0.00647,0.06946,-0.04695314477259949
BUY,MASFIN.NS,2025-07-15,broad,1220000000,40.01,0.00918,0.02232,-0.035839966714135585
BUY,LOVABLE.NS,2025-08-19,broad,8878300,7.17,0.03453,-0.00587,-0.007202961378691364
BUY,CARBORUNIV.NS,2025-09-01,smallcap,274500000,2.00,-0.00305,0.00808,0.024495022355374152
BUY,KESORAMIND.NS,2025-04-03,broad,23423947,4.50,-0.26005,0.05231,-0.185182750229671
BUY,NEWGEN.NS,2025-10-29,smallcap,874052088,4.62,0.11651,-0.00706,0.0020764556329933015
BUY,KOLTEPATIL.NS,2025-09-01,broad,617432807,14.04,0.16137,-0.00095,-0.032917260649684255
BUY,RBLBANK.NS,2025-11-06,smallcap,7793148464,2.27,-0.00309,0.02178,-0.03279296240000573
