FREQ,REF_AREA,COMP_METHOD,UNIT_MEASURE,CURRENCY,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
Q,IN,B,XDC,INR,B,2003-Q3,4853.36
Q,IN,B,XDC,INR,B,2003-Q4,5219.45
Q,IN,B,XDC,INR,B,2004-Q1,5401.42
Q,IN,B,XDC,INR,B,2004-Q2,6068.94
Q,IN,B,XDC,INR,B,2004-Q3,6265.08
Q,IN,B,XDC,INR,B,2004-Q4,6600.74
Q,IN,B,XDC,INR,B,2005-Q1,6956.66
Q,IN,B,XDC,INR,B,2005-Q2,6845.51
Q,IN,B,XDC,INR,B,2005-Q3,6873.15
Q,IN,B,XDC,INR,B,2005-Q4,7314.88
Q,IN,B,XDC,INR,B,2006-Q1,7609.37
Q,IN,B,XDC,INR,B,2006-Q2,8088.2
Q,IN,B,XDC,INR,B,2006-Q3,8387.91
Q,IN,B,XDC,INR,B,2006-Q4,9007.12
Q,IN,B,XDC,INR,B,2007-Q1,9792.98
Q,IN,B,XDC,INR,B,2007-Q2,9855.21
Q,IN,B,XDC,INR,B,2007-Q3,10581.39
Q,IN,B,XDC,INR,B,2007-Q4,11954.07
Q,IN,B,XDC,INR,B,2008-Q1,13331.43
Q,IN,B,XDC,INR,B,2008-Q2,14518.2
Q,IN,B,XDC,INR,B,2008-Q3,15096.05
Q,IN,B,XDC,INR,B,2008-Q4,13322.66
Q,IN,B,XDC,INR,B,2009-Q1,14296.31
Q,IN,B,XDC,INR,B,2009-Q2,13772.01
Q,IN,B,XDC,INR,B,2009-Q3,14304.36
Q,IN,B,XDC,INR,B,2009-Q4,14889.53
Q,IN,B,XDC,INR,B,2010-Q1,14258.16
Q,IN,B,XDC,INR,B,2010-Q2,15485.51
Q,IN,B,XDC,INR,B,2010-Q3,15371.29
Q,IN,B,XDC,INR,B,2010-Q4,16717.87
Q,IN,B,XDC,INR,B,2011-Q1,16600.09
Q,IN,B,XDC,INR,B,2011-Q2,17581.51
Q,IN,B,XDC,INR,B,2011-Q3,19111.5
Q,IN,B,XDC,INR,B,2011-Q4,20093.97
Q,IN,B,XDC,INR,B,2012-Q1,20803.94
Q,IN,B,XDC,INR,B,2012-Q2,21851.98
Q,IN,B,XDC,INR,B,2012-Q3,21028.24
Q,IN,B,XDC,INR,B,2012-Q4,22593.04
Q,IN,B,XDC,INR,B,2013-Q1,23309.59
Q,IN,B,XDC,INR,B,2013-Q2,23725.28
Q,IN,B,XDC,INR,B,2013-Q3,24422.19
Q,IN,B,XDC,INR,B,2013-Q4,25548.86
Q,IN,B,XDC,INR,B,2014-Q1,26124.6
Q,IN,B,XDC,INR,B,2014-Q2,25820.15
Q,IN,B,XDC,INR,B,2014-Q3,25552.15
Q,IN,B,XDC,INR,B,2014-Q4,26470.64
Q,IN,B,XDC,INR,B,2015-Q1,28220.91
Q,IN,B,XDC,INR,B,2015-Q2,28686.03
Q,IN,B,XDC,INR,B,2015-Q3,29122.43
Q,IN,B,XDC,INR,B,2015-Q4,30733.78
Q,IN,B,XDC,INR,B,2016-Q1,32621.99
Q,IN,B,XDC,INR,B,2016-Q2,32530.08
Q,IN,B,XDC,INR,B,2016-Q3,32746.93
Q,IN,B,XDC,INR,B,2016-Q4,32556.83
Q,IN,B,XDC,INR,B,2017-Q1,31902.54
Q,IN,B,XDC,INR,B,2017-Q2,33040.94
Q,IN,B,XDC,INR,B,2017-Q3,33565.97
Q,IN,B,XDC,INR,B,2017-Q4,33796.37
Q,IN,B,XDC,INR,B,2018-Q1,37040.38
Q,IN,B,XDC,INR,B,2018-Q2,35658.61
Q,IN,B,XDC,INR,B,2018-Q3,37500.54
Q,IN,B,XDC,INR,B,2018-Q4,37602.88
Q,IN,B,XDC,INR,B,2019-Q1,40074.73
Q,IN,B,XDC,INR,B,2019-Q2,40399.99
Q,IN,B,XDC,INR,B,2019-Q3,41077.81
Q,IN,B,XDC,INR,B,2019-Q4,43022.57
Q,IN,B,XDC,INR,B,2020-Q1,49507.45
Q,IN,B,XDC,INR,B,2020-Q2,53367.05
Q,IN,B,XDC,INR,B,2020-Q3,53513.02
Q,IN,B,XDC,INR,B,2020-Q4,56885.18
Q,IN,B,XDC,INR,B,2021-Q1,56801.05
Q,IN,B,XDC,INR,B,2021-Q2,61165.29
Q,IN,B,XDC,INR,B,2021-Q3,63125.98
Q,IN,B,XDC,INR,B,2021-Q4,62642.48
Q,IN,B,XDC,INR,B,2022-Q1,62614.8
Q,IN,B,XDC,INR,B,2022-Q2,61418.48
Q,IN,B,XDC,INR,B,2022-Q3,58828.02
Q,IN,B,XDC,INR,B,2022-Q4,61486.66
Q,IN,B,XDC,INR,B,2023-Q1,63447.56
Q,IN,B,XDC,INR,B,2023-Q2,62822.93
Q,IN,B,XDC,INR,B,2023-Q3,64339.15
Q,IN,B,XDC,INR,B,2023-Q4,67935.59
Q,IN,B,XDC,INR,B,2024-Q1,70694.24
Q,IN,B,XDC,INR,B,2024-Q2,68939.9
Q,IN,B,XDC,INR,B,2024-Q3,73082.7
Q,IN,B,XDC,INR,B,2024-Q4,69627.59
Q,IN,B,XDC,INR,B,2025-Q1,75436.4
Q,IN,B,XDC,INR,B,2025-Q2,77705.73
Q,IN,B,XDC,INR,B,2025-Q3,80929.5377
Q,IN,B,XDC,INR,B,2025-Q4,82835.3426
A,IN,B,XDC,INR,B,1935,2.519226744186
A,IN,B,XDC,INR,B,1936,2.5086860465116
A,IN,B,XDC,INR,B,1937,2.7405813953488
A,IN,B,XDC,INR,B,1938,2.6773372093023
A,IN,B,XDC,INR,B,1939,2.8670697674419
A,IN,B,XDC,INR,B,1940,3.4468081395349
