"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","42,28,835","339.98","-"
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","97,28,813","340.91","-"
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","MICROCURVES TRADING PRIVATE LIMITED","SELL","97,28,813","341.07","-"
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","22,89,423","338.34","-"
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","22,89,423","338.51","-"
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","QE SECURITIES LLP","BUY","47,42,204","337.83","-"
"19-MAY-2026","APOLLO","Apollo Micro Systems Ltd","QE SECURITIES LLP","SELL","48,22,338","336.54","-"
"19-MAY-2026","ARUNAYA","Arunaya Organics Limited","KAPADIA FINWEALTH LLP  .","SELL","2,04,000","29.93","-"
"19-MAY-2026","AUTOIND","Autoline Industries Limit","ANKITA VISHAL SHAH","SELL","9,19,569","92.00","-"
"19-MAY-2026","AUTOIND","Autoline Industries Limit","ANKITA VISHAL SHAH","BUY","9,78,569","91.77","-"
"19-MAY-2026","AUTOIND","Autoline Industries Limit","D3 STOCK VISION LLP","BUY","2,34,383","93.08","-"
"19-MAY-2026","AUTOIND","Autoline Industries Limit","D3 STOCK VISION LLP","SELL","2,63,383","91.28","-"
"19-MAY-2026","AUTOIND","Autoline Industries Limit","NEO APEX SHARE BROKING SERVICES LLP","SELL","4,28,811","92.85","-"
"19-MAY-2026","AUTOIND","Autoline Industries Limit","NEO APEX SHARE BROKING SERVICES LLP","BUY","4,32,309","90.89","-"
"19-MAY-2026","FCL","Fineotex Chemical Limited","HRTI PRIVATE LIMITED","BUY","58,82,591","32.78","-"
"19-MAY-2026","FCL","Fineotex Chemical Limited","HRTI PRIVATE LIMITED","SELL","59,22,303","32.91","-"
"19-MAY-2026","FCL","Fineotex Chemical Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","69,99,163","33.07","-"
"19-MAY-2026","FCL","Fineotex Chemical Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","70,96,221","33.08","-"
"19-MAY-2026","FCL","Fineotex Chemical Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","67,32,459","33.15","-"
"19-MAY-2026","FCL","Fineotex Chemical Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","67,32,459","33.13","-"
"19-MAY-2026","FCL","Fineotex Chemical Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","90,03,028","33.03","-"
"19-MAY-2026","FCL","Fineotex Chemical Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","90,03,028","33.04","-"
"19-MAY-2026","FCL","Fineotex Chemical Limited","QE SECURITIES LLP","SELL","81,06,812","33.13","-"
"19-MAY-2026","FCL","Fineotex Chemical Limited","QE SECURITIES LLP","BUY","82,23,633","32.87","-"
"19-MAY-2026","GCSL","Gretex Corporate Services","MANSUKH SECURITIES & FINANCE LIMITED","SELL","70,441","387.98","-"
"19-MAY-2026","GCSL","Gretex Corporate Services","MANSUKH SECURITIES & FINANCE LIMITED","BUY","2,28,606","384.44","-"
"19-MAY-2026","IEML","Indian Emulsifiers Ltd","PRUDENT EQUITY PRIVATE LIMITED","SELL","1,00,000","51.89","-"
"19-MAY-2026","JARO","Jaro Ins of Tec Mg N Re L","SALUNKHE NAMDEO SANJAY","BUY","2,09,189","503.91","-"
"19-MAY-2026","JARO","Jaro Ins of Tec Mg N Re L","SINGULARITY GROWTH OPPORTUNITIES FUND II","SELL","2,80,899","501.33","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","1,66,350","670.85","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","1,66,350","670.26","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","CHHIRANG ENTERPRISES","BUY","1,41,782","654.64","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","CHHIRANG ENTERPRISES","SELL","1,56,897","665.24","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","SELL","2,64,553","666.47","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","2,66,310","665.46","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","3,64,278","670.61","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","3,71,076","672.05","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","HADIL KELOTH PATTEIR KANDY","SELL","1,51,500","670.88","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","HADIL KELOTH PATTEIR KANDY","BUY","1,51,500","672.60","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","HRTI PRIVATE LIMITED","SELL","9,11,468","670.30","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","HRTI PRIVATE LIMITED","BUY","9,49,277","665.96","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","IRAGE BROKING SERVICES LLP","SELL","4,55,953","672.72","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","IRAGE BROKING SERVICES LLP","BUY","4,63,036","673.02","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","7,04,037","670.57","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","7,04,691","670.10","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","MICROCURVES TRADING PRIVATE LIMITED","SELL","10,44,986","670.85","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","MICROCURVES TRADING PRIVATE LIMITED","BUY","10,44,986","670.59","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","MUSIGMA SECURITIES","BUY","1,73,121","666.66","-"
"19-MAY-2026","JINDRILL","Jindal Drilling And Indus","MUSIGMA SECURITIES","SELL","1,73,121","666.93","-"
